belongs_to_collection,budget,genres,id,original_language,overview,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,vote_average,vote_count,release_year,return
,0,"[{'id': 18, 'name': 'Drama'}, {'id': 878, 'name': 'Science Fiction'}]",75294,ru,"Based upon the famous novel by H.G.Wells. A poor scientist named Griffin discovers a way to make things invisible. Since he has no money to continue his research, he decides to perform his only experiment on himself. After becoming invisible, Griffin has a lot of trouble trying to conceal this from other people.",0.077218,"[{'name': 'Mosfilm', 'id': 5120}]","[{'iso_3166_1': 'RU', 'name': 'Russia'}]",1984-01-12,0,89.0,"[{'iso_639_1': 'ru', 'name': 'Pусский'}]",Released,,The Invisible Man,5.0,1,1984,0.0
,0,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",63293,ru,A married woman fresh from the countryside meets a charming cab driver on her first day in Moscow. They spend the day together and their fondness for each other grows...,0.795092,"[{'name': 'Gorky Film Studios', 'id': 21978}]","[{'iso_3166_1': 'RU', 'name': 'Russia'}]",1967-06-06,0,79.0,"[{'iso_639_1': 'ru', 'name': 'Pусский'}]",Released,,Three Poplars on Plyuschikha Street,7.6,10,1967,0.0
,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",73267,ru,Three best friend are going to spend a vacation on a sea shore. But when they arrive to their usual place they suddenly find that the spot is already occupied - by two beautiful girls.,0.387842,"[{'name': 'Gorky Film Studio', 'id': 3681}]","[{'iso_3166_1': 'RU', 'name': 'Russia'}]",1963-07-03,0,100.0,"[{'iso_639_1': 'ru', 'name': 'Pусский'}]",Released,,Three Plus Two,7.4,8,1963,0.0
,0,"[{'id': 28, 'name': 'Action'}]",213496,en,"Spears, a private detective working in L.A. receives word from an old friend that the friend's sister (and Spears' ex-girlfriend), Kim, has been kidnapped by a criminal gang. At first, Spears doesn't want to get involved, especially when he finds out that his friend's family is mixed up with the Chinese Mafia, but the feelings he still has for Kim lead him to return to New York and try to rescue her. When he arrives, he learns that Kim is caught in the middle of a war with the Russian Mafia, and that her life now depends on him.",0.350197,"[{'name': 'Franchise Pictures', 'id': 1403}, {'name': 'Muse Entertainment Enterprises', 'id': 6438}]",[],2001-11-21,0,90.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,The Tracker,6.0,2,2001,0.0
,0,"[{'id': 18, 'name': 'Drama'}]",28745,en,"Elle a une passion: la danse. Une ambition: danser a Broadway. Un handicap: elle est muette. Le samedi soir, dans une boite new-yorkaise, elle affronte les plus grands DJ et, quelle que soit la musique, techno, funk, jazz ou soul, elle garde le tempo et met le public a genoux. Un soir, dans la foule, un jeune scientifique la decouvre, fascine. Avec elle, il inventera un systeme qui lui permettra de danser, de s'exprimer et d'aimer...",0.250106,[],[],2000-06-07,0,89.0,"[{'iso_639_1': 'fr', 'name': 'Français'}]",Released,,The Dancer,4.6,5,2000,0.0
,0,"[{'id': 80, 'name': 'Crime'}, {'id': 10769, 'name': 'Foreign'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",7298,en,"To cover up his infidelities and protect his upcoming marriage, a star advertiser helps free an accused rapist by giving a false alibi and suffers the brutal revenge of the victim.",2.306467,"[{'name': 'Erfttal Film', 'id': 2221}, {'name': 'Rheingold Films', 'id': 2223}]","[{'iso_3166_1': 'DE', 'name': 'Germany'}]",2006-10-21,0,116.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,One Way,4.9,12,2006,0.0
,0,"[{'id': 27, 'name': 'Horror'}, {'id': 10769, 'name': 'Foreign'}]",28279,de,"Janine Reynaud stars as a nightclub stripper who free-floats through a spectral 60's landscape littered with dream-figures, dancing midgets and bizarre S&amp;M games.",0.870649,"[{'name': 'Aquila Film Enterprises', 'id': 15246}]","[{'iso_3166_1': 'DE', 'name': 'Germany'}]",1968-04-19,0,84.0,"[{'iso_639_1': 'de', 'name': 'Deutsch'}]",Released,Sie dürstet nach Liebe - und ertrinkt in der Lust,Succubus,6.4,5,1968,0.0
,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",81297,en,"Karol has everything. He has three mistresses in addition to the bride. He is charming, loves sex and enslaves women in the blink of an eye. He's also well aware of that women like and uses it for his benefits.",0.002001,[],[],1985-10-21,0,94.0,[],Released,,"Och, Karol",6.5,2,1985,0.0
,0,"[{'id': 10769, 'name': 'Foreign'}, {'id': 27, 'name': 'Horror'}]",52849,es,"A young man is released from an asylum and returns home for revenge on his aunt and her three daughters, who had him declared insane in order to steal his inheritance.",1.123296,"[{'name': 'Hesperia Films S.A.', 'id': 4780}, {'name': 'Les Films de la Boétie', 'id': 18477}]","[{'iso_3166_1': 'FR', 'name': 'France'}, {'iso_3166_1': 'ES', 'name': 'Spain'}]",1973-10-01,0,106.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'es', 'name': 'Español'}]",Released,,A Bell From Hell,6.6,8,1973,0.0
,1000000,"[{'id': 53, 'name': 'Thriller'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 80, 'name': 'Crime'}]",228642,fr,"Stan is young, but had already been in hell. Once he was accused in a series of brutal murders, though the evidence was not accurate. The verdict of the court sent him to hospital, where they hold dangerous mentally ill. A few years later at the urging of his psychiatrist dealing resumed, and Stan was released.However, after his release from the hospital once again began killing one another frightening ...",2.115358,"[{'name': 'TPS Cinéma', 'id': 884}, {'name': 'Avalanche Productions', 'id': 2525}]","[{'iso_3166_1': 'FR', 'name': 'France'}]",2000-07-11,0,110.0,"[{'iso_639_1': 'fr', 'name': 'Français'}]",Released,,Exit,5.0,2,2000,0.0
,0,"[{'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]",96005,pl,"Alfred and Jerzy take part in a brutal incident: during a train ride, a couple of hooligans harass a young woman. Jerzy stands in her defense. Alfred hesitates and becomes a helpless bystander as his younger brother is thrown off the moving train. 'Courage' is about people whose lives get disturbed by a violent act, which forces them to reveal who they really are.",0.149618,"[{'name': 'Opus Film', 'id': 6477}, {'name': 'Polski Instytut Sztuki Filmowej', 'id': 11240}]","[{'iso_3166_1': 'PL', 'name': 'Poland'}]",2011-11-18,0,85.0,"[{'iso_639_1': 'pl', 'name': 'Polski'}]",Released,,Courage,7.1,4,2011,0.0
,0,"[{'id': 18, 'name': 'Drama'}, {'id': 12, 'name': 'Adventure'}]",83481,ca,"A young publicist, with a successful professional life but with an empty personal life, finds himself on a trip against time to get to an important business meeting. During the trip, he meets a girl and, although they are very different and have opposite ways of life, they click when recalling the most mythical and emotional time of their childhood: the last summer they spent with their gang",0.477999,[],"[{'iso_3166_1': 'ES', 'name': 'Spain'}]",2010-10-22,0,0.0,"[{'iso_639_1': 'ca', 'name': 'Català'}, {'iso_639_1': 'hu', 'name': 'Magyar'}, {'iso_639_1': 'es', 'name': 'Español'}]",Released,,Heroes,7.6,11,2010,0.0
,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 10752, 'name': 'War'}]",51424,cs,"Former Nazi Klaus Abard survives to the 1990s by taking anti-ageing pills. He plans to use a time travel trip to return to Germany in 1944 and present Hitler with a hydrogen bomb, so that he can win the war. Unfortunately the pilot, woman-chasing Karel Bures, dies on the morning of the trip and his earnest twin brother Jan impersonates him, without knowing about the plot. The plot goes wrong when they lose the bomb and land near Hitler's bunker in 1941, at a time that the Nazis sense victory. Bures, with two of the plotters, escape capture by the Nazis and make it back to the time machine. Bures programs the machine to return one day before they left, because he figures he can then save his brother and foil the plot.",1.180615,[],"[{'iso_3166_1': 'CZ', 'name': 'Czech Republic'}]",1977-06-01,0,93.0,"[{'iso_639_1': 'cs', 'name': 'Český'}]",Released,,Tomorrow I'll Wake Up and Scald Myself with Tea,6.3,10,1977,0.0
"{'id': 352020, 'name': 'ДухLess (Коллекция)', 'poster_path': '/k6gf56W3MQ1njiUHRJptL2ovv9X.jpg', 'backdrop_path': '/giGpim9NLgS0sL13QUYyTcuhFjF.jpg'}",0,"[{'id': 18, 'name': 'Drama'}]",327982,ru,"Max Andreev thought the best place to start a new life would be at the other end of the world. What he didn't know, is that you can't outrun your past.",1.369751,"[{'name': 'Art Pictures Studio', 'id': 3451}, {'name': 'Kinoslovo', 'id': 21179}]","[{'iso_3166_1': 'RU', 'name': 'Russia'}]",2015-03-05,0,0.0,"[{'iso_639_1': 'ru', 'name': 'Pусский'}]",Released,,Soulless 2,4.4,11,2015,0.0
,0,"[{'id': 99, 'name': 'Documentary'}]",453053,en,"\"The story of the rise and fall of the 1990s skate boarding magazine, \"\"Big Brother.\"\"\"",0.444744,"[{'name': 'Hulu', 'id': 58423}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2017-06-03,0,79.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Post Production,,Dumb: The Story of Big Brother Magazine,6.0,1,2017,0.0
,0,"[{'id': 18, 'name': 'Drama'}, {'id': 10402, 'name': 'Music'}]",176167,de,"Hans-Jürgen Syberberg's Parsifal film is a psychological interpretation of the opera mixing in references to the history of Germany, Wagner's life, German literature and philosophy. The action is centered around Wagner's death mask. Kundry (played by the German actress Edith Clever and sung by Yvonne Minton) is the main character - one might read the film as the story of her redemption rather than that of Amfortas.  Made entirely in a studio (in 1981 and released in 1983), it is characterized by long takes, slowly moving camera that breaths with the music and varies between close-ups and long shots to emphasize the drama.",0.165026,"[{'name': 'Gaumont', 'id': 9}, {'name': 'Bavaria Film', 'id': 1704}, {'name': 'Artificial Eye', 'id': 11895}, {'name': 'TMS Film GmbH', 'id': 26206}]","[{'iso_3166_1': 'DE', 'name': 'Germany'}]",1982-04-30,0,255.0,"[{'iso_639_1': 'de', 'name': 'Deutsch'}]",Released,,Parsifal,8.3,3,1982,0.0
,0,[],264389,en,"This mesmerizing mystery delves deep into the heart, mind, and soul of Mabel, a Mexican muxe (transwoman) who revives past demons when she comes face to face with the people, places and memories of a faraway life. After learning that her dear friend Daniela has suddenly died, Mabel travels back to her hometown of Juchitán, Oaxaca only to discover that everything is both the same and different at once. She soon finds herself immersed in a tale of crime and passion that reveals shocking moments of emotional turmoil and unadulterated truth. Part psychological thriller, part personal love story, Carmín Tropical is a layered exploration of gender and culture in a familiar world turned upside down.",0.457331,"[{'name': 'Cine Pantera', 'id': 5433}]","[{'iso_3166_1': 'MX', 'name': 'Mexico'}]",2014-10-16,0,80.0,"[{'iso_639_1': 'es', 'name': 'Español'}]",Released,,Tropical Carmine,6.0,3,2014,0.0
"neither of the two is willing to give up.\"",4.499903,/ddEYdNIq6ZVp800fbhZw8sbPeXP.jpg,"[{'iso_3166_1': 'BE', 'name': 'Belgium'}, {'iso_3166_1': 'FR', 'name': 'France'}]",0,"[{'iso_639_1': 'fr', 'name': 'Français'}]",Released,After Love,False,5.9,38,,,,,,,,,8.44462647305953
,0,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",379959,en,Jimmy Arnaud eulogizes his mother.,0.102319,[],[],2016-01-23,0,13.0,[],Released,,Thunder Road,8.0,2,2016,0.0
,0,"[{'id': 18, 'name': 'Drama'}, {'id': 16, 'name': 'Animation'}]",353406,en,"In this gleefully anarchic tour-de-force of puppetry, a primal scream class unleashes a man’s inner id - quite literally.",0.106093,[],"[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",2015-01-01,0,11.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Manoman,7.0,1,2015,0.0
,0,[],246006,en,A down on his luck boy finds love in the most unexpected way.,0.306599,[],[],2012-05-15,0,11.0,[],Released,,The Most Beautiful Thing,4.5,2,2012,0.0
,0,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",4049,de,"A man is wrongfully imprisoned for five years. Once out, he hears about his wife's supposed adventures outside of their marriage and becomes increasingly jealous.",0.002841,"[{'name': 'Roxy Film', 'id': 101}, {'name': 'Solaris Film', 'id': 1001}, {'name': 'Bavaria Film', 'id': 1704}, {'name': 'Bayerischer Rundfunk (BR)', 'id': 7333}, {'name': 'Radiotelevisão Portuguesa (RTP)', 'id': 26019}, {'name': 'Royal', 'id': 39617}]","[{'iso_3166_1': 'PT', 'name': 'Portugal'}, {'iso_3166_1': 'DE', 'name': 'Germany'}]",1978-04-05,0,93.0,"[{'iso_639_1': 'de', 'name': 'Deutsch'}]",Released,,The Glass Cell,5.0,1,1978,0.0
,0,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",32066,en,"Stefan and Dolly Oblonsky have had a spat and Stefan has asked his sister, Anna Karenina, to come down to Moscow to help mend the rift. Anna's companion on the train from St. Petersburg is Countess Vronsky who is met at the Moscow station by her son. Col. Vronsky looks very dashing in his uniform and it's love at first sight when he looks at Anna and their eyes meet.",0.603149,"[{'name': 'London Film Productions', 'id': 659}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",1948-01-22,0,139.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'it', 'name': 'Italiano'}]",Released,,Anna Karenina,5.3,6,1948,0.0
,300000,"[{'id': 80, 'name': 'Crime'}, {'id': 99, 'name': 'Documentary'}]",402919,de,"Derek and Nancy Haysom were brutally murdered in their house in Lynchburg, Virginia, on March 30, 1985. Suspicion fell on their daughter Elizabeth and her boyfriend Jens Söring. They flee to Europe, but are caught and extradited to the U.S. Elizabeth is sentenced to 90 years in jail for incitement to murder, Jens Söring to two life sentences. Karin Steinberger, Marcus Vetter and their team spent over three years researching this case, which achieved world-wide notoriety. They uncovered new evidence, including the fact none of the blood samples found at the scene of the crime belonged to Jens Söring.",1.340429,"[{'name': 'Danmarks Radio (DR)', 'id': 119}, {'name': 'SVT', 'id': 3179}, {'name': 'British Broadcasting Corporation (BBC)', 'id': 3324}, {'name': 'ARTE', 'id': 5766}, {'name': 'Bayerischer Rundfunk (BR)', 'id': 7333}, {'name': 'Südwestrundfunk (SWR)', 'id': 16110}, {'name': 'VPRO', 'id': 85213}, {'name': 'Filmperspektive GmbH', 'id': 87995}]","[{'iso_3166_1': 'SE', 'name': 'Sweden'}, {'iso_3166_1': 'DE', 'name': 'Germany'}, {'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'NL', 'name': 'Netherlands'}, {'iso_3166_1': 'DK', 'name': 'Denmark'}]",2016-10-27,0,131.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'de', 'name': 'Deutsch'}]",Released,Love Is The Ultimate Weapon.,The Promise,4.5,3,2016,0.0
,0,[],413992,en,A former rodeo champ befriends a young man with a propensity for violence.,1.718775,[],[],2017-11-17,0,95.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Sweet Virginia,0.0,1,2017,0.0
,0,"[{'id': 18, 'name': 'Drama'}]",412059,en,"In forgotten towns along the American border, a young mother drifts from one motel to the next with her intoxicating boyfriend and her 8-year-old son. The makeshift family scrapes by, living one hustle at a time, until the discovery of a mobile home community offers an alternative life.",0.155147,[],"[{'iso_3166_1': 'FR', 'name': 'France'}, {'iso_3166_1': 'CA', 'name': 'Canada'}]",2018-04-04,0,105.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Post Production,,Mobile Homes,0.0,1,2018,0.0
,0,"[{'id': 99, 'name': 'Documentary'}]",436305,en,Documentary about NASA's Voyager space programme,1.196529,"[{'name': 'Crossing the Line Productions', 'id': 90490}]","[{'iso_3166_1': 'IE', 'name': 'Ireland'}]",2017-02-26,0,120.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,12 billion miles and counting...,The Farthest,8.3,6,2017,0.0
,0,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",181564,ru,"An ex-convict Viktor Dremov, who is also an ex-boxer, tries to mend his ways and start a new life but his former girlfriend is marrying another man (some old antiquarian), while local thugs rob him of his car and press him constantly trying to make him work for them. Being framed and hunted he should kill them all before he becomes a broken or a dead man.",0.001393,"[{'name': 'Mosfilm', 'id': 5120}]","[{'iso_3166_1': 'RU', 'name': 'Russia'}]",1991-07-09,0,107.0,"[{'iso_639_1': 'ru', 'name': 'Pусский'}]",Released,,Crossing the Last Line,5.3,2,1991,0.0
,0,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}]",151652,ru,This is a survival story - a Hemingway's 'Old Man and the Sea' as if written for our days.,0.37955,"[{'name': 'Kazakhfilm Studios', 'id': 3623}]","[{'iso_3166_1': 'KZ', 'name': 'Kazakhstan'}]",2012-01-01,0,102.0,"[{'iso_639_1': 'kk', 'name': 'қазақ'}, {'iso_639_1': 'ru', 'name': 'Pусский'}]",Released,,The Old Man,4.0,4,2012,0.0
,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 14, 'name': 'Fantasy'}, {'id': 18, 'name': 'Drama'}]",42384,en,"Hidden in the ancient Korean folklore lies a tragic character with a massive inferiority complex. Byun’s problem stems from his seriously impaired libido, and to make matter worse, the entire village knows about it. But as fate would have it, he chance encounters a monk from the mountain and gains the ultimate male power of never-ending erection and arousal. Around this time all men are grouped and sent off to war and only Byun remains to satisfy the women of the village who are only happy to line up outside Byun’s home and quench their sexual desires and fantasies!",1.199077,"[{'name': '쇼박스(주)미디어플렉스', 'id': 20060}]","[{'iso_3166_1': 'KR', 'name': 'South Korea'}]",2008-04-30,0,120.0,"[{'iso_639_1': 'ko', 'name': '한국어/조선말'}]",Released,,A Tale of Legendary Libido,6.2,13,2008,0.0
,0,"[{'id': 12, 'name': 'Adventure'}, {'id': 16, 'name': 'Animation'}]",378111,de,"Orphaned at birth and raised by storks, the teenage sparrow Richard believes he is one of them. But when the time comes to migrate to Africa, his stork family is forced to reveal his true identity and leave him behind in the forest, since he is not a migratory bird and would not survive the journey. Determined to prove he is a stork after all, Richard ventures south on his own. But only with the help of Olga, an eccentric owl with an imaginary friend and Kiki, a narcissistic, disco-singing parakeet, does he stand a chance to reach his goal and learn to accept who he really is.",9.459123,"[{'name': 'Mélusine Productions', 'id': 69192}]","[{'iso_3166_1': 'BE', 'name': 'Belgium'}, {'iso_3166_1': 'LU', 'name': 'Luxembourg'}, {'iso_3166_1': 'DE', 'name': 'Germany'}, {'iso_3166_1': 'NO', 'name': 'Norway'}]",2017-05-11,0,85.0,"[{'iso_639_1': 'sv', 'name': 'svenska'}]",Released,Their adventure is the destination.,A Stork's Journey,5.1,11,2017,0.0
,0,"[{'id': 35, 'name': 'Comedy'}]",56049,pt,"For forty years, the public functionary and family man Lineu and his beloved wife Nenê celebrate their first date going to the same ball where Lineu borrowed the jacket his competitor Carlinhos. In the present days, Lineu feels uncomfortable when his colleague Pacheco dies and goes to the doctor for health examination. When the result of his tomography arrives, his doctor says that he had seen some blur in his lungs and with that report he would give the correct diagnosis. Lineu steals the document afraid of having a tumor, but he believes he will die sooner. Meanwhile, Nenê meets Carlinhos in the supermarket where he is the manager and invites him to have dinner with her family. Lineu hides his concerns to Nenê, and his attitudes in the dinner misguide Nenê, and she believes Lineu has a lover and does not love him anymore",0.536814,"[{'name': 'Europa Filmes', 'id': 13968}, {'name': 'Globo Filmes', 'id': 13969}]","[{'iso_3166_1': 'BR', 'name': 'Brazil'}]",2007-01-26,0,105.0,"[{'iso_639_1': 'pt', 'name': 'Português'}]",Released,,A Grande Família: O Filme,5.5,14,2007,0.0
,0,"[{'id': 18, 'name': 'Drama'}]",133448,en,Part of the PBS Great Performance Series. Renowned Shakespearean actor Patrick Stewart features as the eponymous anti-hero in this Soviet-era adaptation of one of Shakespeare's darkest and most powerful tragedies.,1.159167,"[{'name': 'PBS', 'id': 5826}, {'name': 'BBC', 'id': 5996}, {'name': 'Gravitas Ventures', 'id': 44632}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",2010-10-06,0,160.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Macbeth,6.9,9,2010,0.0
,0,"[{'id': 53, 'name': 'Thriller'}]",390587,en,"While on a covert mission, two cold blooded mercenaries form an unlikely bond as they race across the desert in the dead of night. When their violent and desperate world implodes, past atrocities come to the surface threatening to tear each of them apart.",1.490384,[],[],2016-10-07,0,92.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Tiger Raid,4.0,2,2016,0.0
,0,"[{'id': 80, 'name': 'Crime'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",11512,fr,"L'Alpagueur is a free-lance spy from the French secret agency. He's put on the investigation about L'epervier, a serial-killer who employs young boys to help him robbing banks before killing them.",1.375007,[],"[{'iso_3166_1': 'FR', 'name': 'France'}]",1976-02-01,0,110.0,"[{'iso_639_1': 'fr', 'name': 'Français'}]",Released,,Hunter Will Get You,6.4,14,1976,0.0
,0,"[{'id': 18, 'name': 'Drama'}]",278730,lt,"\"The film is set in Lithuania after the Second World War. It shows dramatic events in a small Lithuanian farming community, where people are split between the Soviets and the \"\"brothers in the woods\"\"","who are fighting to defend their land from the Soviets after the end of the Second World War.\"",/hkIp0xdYpL270ywATc06kVnbOpG.jpg,"[{'name': 'Lietuvos Kinostudija', 'id': 2064}]","[{'iso_3166_1': 'LT', 'name': 'Lithuania'}]",1965-09-04,0,107.0,"[{'iso_639_1': 'lt', 'name': 'Lietuvi\\x9akai'}]",Released,,False,5.8,,0.0
,0,"[{'id': 35, 'name': 'Comedy'}]",38389,en,Norman is a window cleaner who has to clean a manor house with hundreds of windows. He is distracted by the son of the house who persuades him to go into town. When some villains try and kidnap the young heir Norman fights them off but the heir has banged his head and can't remember Norman's heroic stand,0.926374,"[{'name': 'The Rank Organisation', 'id': 364}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",1956-01-01,0,87.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Up in the World,6.5,5,1956,0.0
